date,bus_rides,rail_rides,divvy_rides,TEMP,PRCP,HMDT,WND_SPD,ATM_PRESS
2025-01-29,598288,331037,8676,2.3216666666666668,0.0,71.39916666666666,7.042083333333333,99.00083333333333
2025-01-30,594104,327735,7426,2.5941666666666667,4.47625,81.655,4.741666666666666,99.14958333333334
2025-01-31,501702,256033,3903,2.275,15.200416666666667,91.47166666666668,7.545833333333333,98.82416666666667
2025-02-01,374607,189266,5103,-0.5145833333333333,0.0,68.52499999999999,7.23,100.30958333333332
2025-02-02,275610,141641,4947,2.040833333333333,0.18125,87.94,5.25125,99.33375000000001
2025-02-03,535937,284782,6683,1.5783333333333334,0.00375,91.59791666666666,5.088333333333334,99.15958333333333
2025-02-04,597936,328227,6670,-2.8045833333333334,0.0,74.66291666666667,7.861249999999999,100.71666666666665
2025-02-05,585209,323898,6475,-1.7408333333333335,0.4404166666666667,73.39125,7.270416666666667,100.09333333333332
2025-02-06,562135,314399,5911,0.13083333333333327,0.14583333333333334,71.83708333333333,8.9925,99.09708333333333
2025-02-07,565675,276199,6067,-3.13125,0.0,65.12625,4.465416666666667,100.30125
2025-02-08,353763,183968,4074,-0.75875,0.46249999999999997,77.93458333333334,6.364166666666667,99.43291666666666
2025-02-09,282432,147010,4334,-2.6904166666666662,0.0008333333333333334,67.73166666666667,5.441666666666666,100.45083333333334
2025-02-10,555343,281064,6099,-2.737083333333333,0.0,61.35208333333333,3.6320833333333336,100.8975
2025-02-11,596962,325481,5964,-2.8045833333333334,0.0033333333333333335,76.8325,6.371666666666667,100.34666666666668
2025-02-12,488531,267441,3122,-2.1625,8.988333333333333,84.35875,7.099166666666666,99.27583333333332
2025-02-13,557158,311351,3806,-6.739166666666667,0.47875,84.71,8.500833333333334,100.16624999999999
2025-02-14,526733,270168,3604,-7.014166666666667,2.337083333333333,82.34416666666667,6.458333333333333,100.99125
2025-02-15,352655,191510,2886,-0.8458333333333333,0.28833333333333333,85.67291666666667,5.027916666666667,99.10791666666667
2025-02-16,274690,145768,2686,-4.11,0.2608333333333333,80.93875,10.988750000000001,98.995
2025-02-17,366841,197574,2511,-11.998750000000001,0.02625,89.52083333333333,8.9625,100.40583333333332
2025-02-18,489769,269662,2761,-11.453333333333333,0.2816666666666667,88.48,6.655833333333334,101.11291666666666
2025-02-19,548492,300761,4113,-9.122083333333334,0.31625,85.7625,5.81625,100.98916666666666
2025-02-20,564558,314537,4750,-7.06625,0.017083333333333336,87.14541666666666,7.017916666666667,100.88375
2025-02-21,545973,271342,4892,-5.527083333333334,0.0,84.75416666666668,5.352083333333333,101.13
2025-02-22,368782,191327,4396,-4.030833333333333,0.0,78.825,7.261666666666667,100.18708333333335
2025-02-23,280088,143249,4383,0.17833333333333326,0.0,82.66541666666667,5.4316666666666675,99.50041666666668
2025-02-24,575923,291735,8330,3.7304166666666667,0.5670833333333333,89.04875,7.151666666666667,98.54041666666666
2025-02-25,572422,327289,10106,4.840416666666667,0.2575,78.27541666666667,3.61125,98.80874999999999
2025-02-26,606732,327949,8322,3.14625,2.4804166666666667,89.53625,4.7975,98.77958333333333
2025-02-27,604174,332335,9553,3.2070833333333333,0.09749999999999999,79.17291666666667,6.569166666666667,98.91166666666668
2025-02-28,587753,290791,9317,3.9258333333333333,0.0,69.11749999999999,9.956249999999999,98.11708333333333
